eng_TAMsimp,TOTAL,"('Main', 'x')","('Main', 'Wx')","('SubAdv', 'x')","('Main', 'Ø')","('SubMod', 'x')","('Main', 'W')","('SubAdv', 'Wx')","('SubArg', 'x')","('SubAdv', 'Ø')","('SubMod', 'Ø')","('SubAdv', 'W')","('SubArg', 'Ø')","('SubMod', 'Wx')"
MOD must,36,18,7,5,3,1,2,0,0,0,0,0,0,0
MOD let,35,8,13,3,6,0,5,0,0,0,0,0,0,0
MOD can ~ MOD may,34,12,10,6,0,3,2,1,0,0,0,0,0,0
PAST ~ PRES PERF,33,9,3,3,11,2,3,1,0,1,0,0,0,0
MOD shall ~ MOD should,31,16,5,4,0,2,0,0,4,0,0,0,0,0
MOD would ~ PAST,29,3,14,2,8,2,0,0,0,0,0,0,0,0
FUT ~ TO INF,27,8,5,1,5,0,2,4,2,0,0,0,0,0
MOD would ~ PRES,23,10,3,2,2,1,1,0,4,0,0,0,0,0
FUT ~ IMPV,21,3,6,3,8,0,1,0,0,0,0,0,0,0
PAST ~ PRES PART,21,6,6,3,1,1,3,1,0,0,0,0,0,0
MOD shall ~ PRES PART,20,10,4,0,2,1,1,1,1,0,0,0,0,0
MOD should ~ TO INF,18,2,0,6,0,2,0,2,6,0,0,0,0,0
MOD must ~ PRES,18,6,5,3,0,2,0,0,2,0,0,0,0,0
PRES ~ PRES PROG,16,4,2,4,2,2,0,1,1,0,0,0,0,0
MOD lest ~ MOD may,16,0,4,11,0,0,0,1,0,0,0,0,0,0
MOD let ~ PRES,15,4,3,0,6,0,2,0,0,0,0,0,0,0
FUT ~ PRES PART,15,6,3,3,2,0,1,0,0,0,0,0,0,0
FUT ~ PAST,15,5,7,0,1,0,2,0,0,0,0,0,0,0
MOD shall ~ PAST,14,6,4,3,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,14,3,3,2,5,0,1,0,0,0,0,0,0,0
MOD lest ~ PRES,14,0,3,10,0,0,0,1,0,0,0,0,0,0
MOD should ~ MOD would,14,5,1,0,2,1,1,3,0,0,0,1,0,0
IMPV ~ MOD may,13,5,5,2,0,0,1,0,0,0,0,0,0,0
MOD let ~ MOD shall,13,6,3,0,4,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,12,6,3,1,0,1,0,0,1,0,0,0,0,0
HAB used to ~ PAST,12,6,3,0,0,3,0,0,0,0,0,0,0,0
MOD may ~ TO INF,12,1,1,5,0,0,4,0,1,0,0,0,0,0
IMPV ~ MOD must,12,7,2,1,2,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,11,6,2,0,2,0,0,1,0,0,0,0,0,0
IMPV ~ MOD can,11,2,9,0,0,0,0,0,0,0,0,0,0,0
MOD might,11,3,0,5,0,0,0,1,0,0,1,0,1,0
PAST ~ TO INF,11,3,2,1,2,1,0,0,2,0,0,0,0,0
MOD may ~ MOD must,10,5,4,0,1,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,10,3,3,1,1,0,0,0,2,0,0,0,0,0
MOD is to,10,5,0,1,0,2,0,0,2,0,0,0,0,0
MOD was to ~ PAST,9,5,0,1,0,2,1,0,0,0,0,0,0,0
MOD can ~ MOD should,8,2,0,5,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD could,8,0,2,2,0,2,0,1,0,1,0,0,0,0
MOD lest,7,0,0,5,0,0,2,0,0,0,0,0,0,0
PAST PERF,7,0,3,0,1,2,0,1,0,0,0,0,0,0
FUT ~ MOD must,7,3,3,0,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,7,1,0,1,1,3,0,0,1,0,0,0,0,0
MOD might ~ MOD would,6,1,2,2,0,0,0,0,0,0,0,1,0,0
MOD could ~ PAST,6,2,3,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,6,1,0,3,2,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,6,2,3,1,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,6,4,0,1,0,0,1,0,0,0,0,0,0,0
MOD lest ~ MOD might,6,2,0,4,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,6,4,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,6,0,3,0,3,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,6,0,3,0,1,2,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,6,2,1,1,0,2,0,0,0,0,0,0,0,0
MOD could ~ MOD would,6,3,1,1,0,0,0,1,0,0,0,0,0,0
FUT ~ FUT going-to,5,4,0,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,5,0,2,2,1,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,5,1,3,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,5,1,0,0,1,2,0,0,1,0,0,0,0,0
MOD can ~ TO INF,5,3,2,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,5,3,2,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,5,0,0,5,0,0,0,0,0,0,0,0,0,0
MOD might ~ TO INF,5,1,0,2,0,0,1,1,0,0,0,0,0,0
MOD may ~ PRES PART,5,0,2,1,0,0,1,1,0,0,0,0,0,0
MOD would ~ TO INF,5,1,1,0,0,1,0,0,2,0,0,0,0,0
MOD might ~ PAST,5,0,0,1,1,0,3,0,0,0,0,0,0,0
MOD might ~ MOD should,5,2,1,0,1,0,0,0,1,0,0,0,0,0
MOD was to,5,1,3,0,0,1,0,0,0,0,0,0,0,0
?VB ~ PAST,4,2,2,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,4,0,4,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,4,0,1,0,0,0,3,0,0,0,0,0,0,0
MOD could ~ MOD might,4,1,1,1,0,0,0,1,0,0,0,0,0,0
MOD can ~ PAST,4,2,2,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,4,1,0,0,0,1,0,0,2,0,0,0,0,0
MOD VB ~ PRES,4,0,0,3,0,0,0,1,0,0,0,0,0,0
PAST PERF ~ PRES,4,1,0,0,1,1,1,0,0,0,0,0,0,0
IMPV ~ PAST,4,1,2,0,0,0,1,0,0,0,0,0,0,0
MOD should ~ PAST,4,1,0,3,0,0,0,0,0,0,0,0,0,0
HAB used to,4,1,2,0,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD lest,4,0,2,2,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,4,2,1,0,1,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,3,1,0,1,1,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,3,1,2,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,3,1,0,1,0,0,0,0,0,1,0,0,0,0
FUT ~ MOD that be,3,0,3,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,3,1,1,0,1,0,0,0,0,0,0,0,0,0
PAST PROG,3,0,1,0,0,1,0,0,0,0,0,0,0,1
MOD can ~ MOD might,3,0,1,0,0,0,0,0,2,0,0,0,0,0
MOD lest ~ MOD would,3,0,1,1,0,0,0,1,0,0,0,0,0,0
MOD could ~ MOD must,3,3,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,3,0,0,3,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,3,2,0,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,2,1,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,3,1,0,1,0,0,0,1,0,0,0,0,0,0
FUT PROG ~ PRES,3,0,1,2,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,3,0,0,0,2,1,0,0,0,0,0,0,0,0
PRES ~ PRES do,2,0,1,0,0,0,0,1,0,0,0,0,0,0
MOD may ~ PAST,2,1,0,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD should,2,0,0,2,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,2,0,0,0,0,0,1,0,1,0,0,0,0,0
MOD lest ~ MOD shall,2,0,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,2,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,2,0,0,0,0,0,0,0,1,0,1,0,0,0
MOD let ~ PAST,2,0,1,0,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,2,1,0,0,0,0,0,0,0,0,1,0,0,0
MOD need not ~ MOD shall,2,1,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,2,0,1,0,0,0,1,0,0,0,0,0,0,0
MOD can ~ MOD must,2,0,0,0,1,1,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,2,0,0,1,0,0,0,1,0,0,0,0,0,0
MOD could ~ TO INF,2,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,2,0,0,1,0,1,0,0,0,0,0,0,0,0
PRES PROG,2,0,1,0,0,1,0,0,0,0,0,0,0,0
MOD must ~ MOD should,2,0,1,0,0,0,1,0,0,0,0,0,0,0
PRES ~ PRES can,1,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,0,0,0,0,0,0,0,1,0,0,0,0,0
PRES ~ PRES shall,1,0,0,0,0,1,0,0,0,0,0,0,0,0
HAB used to ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FUT going-to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,1,0,0,0,0,0,0,0,1,0,0,0,0,0
PAST PROG ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT PERF,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD is to ~ PRES PROG,1,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD could ~ PAST PERF,1,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD could ~ PRES PERF,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,1,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD would,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD may ~ MOD should,1,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD must ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ TO INF,1,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD can ~ MOD lest,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,1,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD VB ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0,0,0
JJ ~ PRES,1,0,0,0,0,0,1,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,1,0,0,0,0,0,1,0,0,0,0,0,0,0
MOD that be,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,1,0,1,0,0,0,0,0,0,0,0,0,0,0
